vessel_id,synthetic_vessel_id,vessel_name,vessel_class,vessel_type,length_m,beam_m,draft_m,container_capacity,containers_to_handle,priority,synthetic
00000000-0000-0000-0000-0000000003fd,SYN-IMO-980021,Charlie Enterprise,Ultra-Large,container,358.9,46.7,15.53,12066,1104,low,True
00000000-0000-0000-0000-0000000003fe,SYN-IMO-980022,Orion Merchant,Panamax,container,254.3,31.6,12.17,4241,512,low,True
00000000-0000-0000-0000-0000000003ff,SYN-IMO-980023,Phoenix Wave,Ultra-Large,container,342.4,46.9,15.34,12133,1108,normal,True
00000000-0000-0000-0000-000000000400,SYN-IMO-980024,Poseidon Glory,Feeder,container,151.4,24.5,9.23,1066,254,critical,True
00000000-0000-0000-0000-000000000401,SYN-IMO-980025,Neptune Crest,Panamax,container,245.6,31.9,12.04,4342,547,normal,True
00000000-0000-0000-0000-000000000402,SYN-IMO-980026,Mercury Link,Ultra-Large,container,356.1,46.8,15.1,12070,1140,normal,True
00000000-0000-0000-0000-000000000403,SYN-IMO-980027,Saturn Vector,Ultra-Large,container,357.3,46.2,15.65,11900,1065,normal,True
00000000-0000-0000-0000-000000000404,SYN-IMO-980028,Jupiter Dawn,Post-Panamax,container,306.0,40.4,13.69,7624,814,high,True
00000000-0000-0000-0000-000000000405,SYN-IMO-980029,Venus Pride,Panamax,container,245.6,31.0,12.42,4276,540,critical,True
00000000-0000-0000-0000-000000000406,SYN-IMO-980030,Centurion Trader,Feeder,container,169.4,25.7,9.85,1135,274,normal,True
00000000-0000-0000-0000-000000000407,SYN-IMO-980031,Vanguard Sea,Panamax,container,257.3,33.6,11.66,4051,499,high,True
00000000-0000-0000-0000-000000000408,SYN-IMO-980032,Odyssey Pearl,Ultra-Large,container,345.7,48.8,15.73,12134,1174,high,True
00000000-0000-0000-0000-000000000409,SYN-IMO-980033,Nautilus Pride,Post-Panamax,container,294.4,40.2,14.24,7381,780,critical,True
00000000-0000-0000-0000-00000000040a,SYN-IMO-980034,Triton Pioneer,Ultra-Large,container,350.1,49.4,15.16,12110,1070,low,True
00000000-0000-0000-0000-00000000040b,SYN-IMO-980035,Boreas Swift,Feeder,container,161.9,24.7,9.24,1111,315,high,True
00000000-0000-0000-0000-00000000040c,SYN-IMO-980036,Aegean Wind,Feeder,container,162.4,23.7,9.58,1317,250,low,True
00000000-0000-0000-0000-00000000040d,SYN-IMO-980037,Baltic Sun,Panamax,container,253.4,31.3,11.77,4117,476,normal,True
00000000-0000-0000-0000-00000000040e,SYN-IMO-980038,Coral Stream,Feeder,container,150.2,24.5,9.56,1101,188,normal,True
00000000-0000-0000-0000-00000000040f,SYN-IMO-980039,Marina Quest,Post-Panamax,container,292.6,41.4,13.57,7475,794,high,True
00000000-0000-0000-0000-000000000410,SYN-IMO-980040,Beacon Crest,Ultra-Large,container,356.7,48.8,15.61,12120,1052,normal,True
00000000-0000-0000-0000-000000000411,SYN-IMO-980041,Cosmos Trader,Post-Panamax,container,308.6,40.4,14.38,7485,729,low,True
00000000-0000-0000-0000-000000000412,SYN-IMO-980042,Liberty Horizon,Panamax,container,245.4,32.4,12.22,4154,467,normal,True
00000000-0000-0000-0000-000000000413,SYN-IMO-980043,Unity Voyager,Post-Panamax,container,308.1,43.4,13.59,7566,770,critical,True
00000000-0000-0000-0000-000000000414,SYN-IMO-980044,Endeavour Express,Post-Panamax,container,305.4,42.5,13.76,7576,841,normal,True
00000000-0000-0000-0000-000000000415,SYN-IMO-980045,Alliance Carrier,Feeder,container,152.2,25.8,9.69,1126,309,critical,True
00000000-0000-0000-0000-000000000416,SYN-IMO-980046,Frontier Leader,Post-Panamax,container,301.7,40.6,13.63,7507,793,low,True
00000000-0000-0000-0000-000000000417,SYN-IMO-980047,Horizon Quest,Feeder,container,168.0,22.8,9.25,1102,260,normal,True
00000000-0000-0000-0000-000000000418,SYN-IMO-980048,Oasis Trader,Ultra-Large,container,359.5,49.0,15.93,11971,1091,low,True
00000000-0000-0000-0000-000000000419,SYN-IMO-980049,Seaward Sentinel,Panamax,container,257.6,30.1,12.24,4220,505,normal,True
00000000-0000-0000-0000-00000000041a,SYN-IMO-980050,Voyager Glory,Panamax,container,245.3,33.1,11.61,4069,520,high,True
00000000-0000-0000-0000-00000000041b,SYN-IMO-980051,Crown Mariner,Ultra-Large,container,347.0,49.3,15.87,11964,1056,normal,True
00000000-0000-0000-0000-00000000041c,SYN-IMO-980052,Royal Navigator,Ultra-Large,container,346.6,49.5,15.97,11992,1139,normal,True
00000000-0000-0000-0000-00000000041d,SYN-IMO-980053,Imperial Star,Ultra-Large,container,353.6,49.4,15.33,11864,1079,low,True
00000000-0000-0000-0000-00000000041e,SYN-IMO-980054,Apex Carrier,Post-Panamax,container,293.6,43.9,13.77,7405,811,normal,True
00000000-0000-0000-0000-00000000041f,SYN-IMO-980055,Pacific Comet,Post-Panamax,container,298.7,43.9,13.62,7645,748,high,True
00000000-0000-0000-0000-000000000420,SYN-IMO-980056,Emerald Ocean,Ultra-Large,container,340.0,49.7,15.54,11950,1143,normal,True
00000000-0000-0000-0000-000000000421,SYN-IMO-980057,Sapphire Seas,Post-Panamax,container,302.5,42.7,13.62,7503,829,normal,True
00000000-0000-0000-0000-000000000422,SYN-IMO-980058,Ruby Clipper,Ultra-Large,container,346.5,48.8,15.55,11948,1157,normal,True
00000000-0000-0000-0000-000000000423,SYN-IMO-980059,Amber Trader,Ultra-Large,container,353.5,49.6,15.62,12004,1153,normal,True
00000000-0000-0000-0000-000000000424,SYN-IMO-980060,Crystal Wave,Feeder,container,156.1,22.8,9.79,1214,289,normal,True
00000000-0000-0000-0000-000000000425,SYN-IMO-980061,Silver Streak,Panamax,container,250.2,33.2,12.46,4136,421,high,True
00000000-0000-0000-0000-000000000426,SYN-IMO-980062,Golden Tide,Post-Panamax,container,291.9,43.8,13.73,7508,757,normal,True
00000000-0000-0000-0000-000000000427,SYN-IMO-980063,Diamond Merchant,Panamax,container,240.5,31.0,11.98,4087,516,normal,True
00000000-0000-0000-0000-000000000428,SYN-IMO-980064,Titan Stream,Panamax,container,254.4,31.5,11.9,4125,401,low,True
00000000-0000-0000-0000-000000000429,SYN-IMO-980065,Neptune Arrow,Feeder,container,165.6,22.9,9.8,1315,288,critical,True
00000000-0000-0000-0000-00000000042a,SYN-IMO-980066,Zephyr Express,Panamax,container,258.3,30.5,11.63,4287,535,low,True
00000000-0000-0000-0000-00000000042b,SYN-IMO-980067,Aero Pioneer,Post-Panamax,container,309.0,43.6,14.11,7608,809,normal,True
00000000-0000-0000-0000-00000000042c,SYN-IMO-980068,Hyperion Runner,Ultra-Large,container,357.9,49.0,15.47,11982,1113,normal,True
00000000-0000-0000-0000-00000000042d,SYN-IMO-980069,Astral Carrier,Post-Panamax,container,305.3,42.1,14.13,7490,812,critical,True
00000000-0000-0000-0000-00000000042e,SYN-IMO-980070,Solar Navigator,Post-Panamax,container,294.7,41.3,14.39,7391,735,high,True
00000000-0000-0000-0000-00000000042f,SYN-IMO-980071,Luna Voyager,Ultra-Large,container,353.9,48.8,15.06,12058,1134,normal,True
00000000-0000-0000-0000-000000000430,SYN-IMO-980072,Terra Mariner,Ultra-Large,container,341.2,49.3,15.39,12149,1055,low,True
00000000-0000-0000-0000-000000000431,SYN-IMO-980073,Starlight Trader,Ultra-Large,container,349.5,49.8,15.3,12049,1157,normal,True
00000000-0000-0000-0000-000000000432,SYN-IMO-980074,Nova Express,Panamax,container,249.8,31.1,11.99,4249,486,normal,True
